!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 15:17:37 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+4.67510650000e+005, +7.76205777017e+002, -1.84900832819e+004
+4.68760625000e+005, +7.74425452852e+002, -1.84407878437e+004
+4.70010600000e+005, +7.72650867500e+002, -1.83946249111e+004
+4.71260575000e+005, +7.67516649133e+002, -1.83451987078e+004
+4.72510550000e+005, +7.65930118795e+002, -1.83002058999e+004
+4.73760525000e+005, +7.62911352189e+002, -1.82517126981e+004
+4.75010500000e+005, +7.60436075725e+002, -1.82050582477e+004
+4.76260475000e+005, +7.58909906257e+002, -1.81574114269e+004
+4.77510450000e+005, +7.57147295447e+002, -1.81104910056e+004
+4.78760425000e+005, +7.54330474876e+002, -1.80645355147e+004
+4.80010400000e+005, +7.52333795877e+002, -1.80188296500e+004
+4.81260375000e+005, +7.48756360606e+002, -1.79732994545e+004
+4.82510350000e+005, +7.48253168308e+002, -1.79272317961e+004
+4.83760325000e+005, +7.47870520984e+002, -1.78845935916e+004
+4.85010300000e+005, +7.42422672644e+002, -1.78372382747e+004
+4.86260275000e+005, +7.43111046331e+002, -1.77913181349e+004
+4.87510250000e+005, +7.37017575673e+002, -1.77483997141e+004
+4.88760225000e+005, +7.35481298977e+002, -1.77024987346e+004
+4.90010200000e+005, +7.33796506593e+002, -1.76584917982e+004
+4.91260175000e+005, +7.32526284797e+002, -1.76157161145e+004
+4.92510150000e+005, +7.29682432035e+002, -1.75732904656e+004
+4.93760125000e+005, +7.28048653353e+002, -1.75269832379e+004
+4.95010100000e+005, +7.24713724424e+002, -1.74854712957e+004
+4.96260075000e+005, +7.22559723651e+002, -1.74421718523e+004
+4.97510050000e+005, +7.21698900447e+002, -1.73986552879e+004
+4.98760025000e+005, +7.20005947727e+002, -1.73572916725e+004
+5.00010000000e+005, +7.17526400061e+002, -1.73137554642e+004
+5.01259975000e+005, +7.14698556160e+002, -1.72714556984e+004
+5.02509950000e+005, +7.12640332729e+002, -1.72308413588e+004
+5.03759925000e+005, +7.11844215767e+002, -1.71890710623e+004
+5.05009900000e+005, +7.07454988534e+002, -1.71480405586e+004
+5.06259875000e+005, +7.06277541361e+002, -1.71058586098e+004
+5.07509850000e+005, +7.04854478732e+002, -1.70637156610e+004
+5.08759825000e+005, +7.01554779783e+002, -1.70252969727e+004
+5.10009800000e+005, +7.00517096855e+002, -1.69826822219e+004
+5.11259775000e+005, +6.98761327069e+002, -1.69413199121e+004
