!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:22:19 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+4.93760125000e+005, +5.39560685602e+002, -1.84533185979e+004
+4.95010100000e+005, +5.40815318674e+002, -1.84072784930e+004
+4.96260075000e+005, +5.38557550370e+002, -1.83658021728e+004
+4.97510050000e+005, +5.36180646750e+002, -1.83179975526e+004
+4.98760025000e+005, +5.35907080022e+002, -1.82737295645e+004
+5.00010000000e+005, +5.33985944378e+002, -1.82283043734e+004
+5.01259975000e+005, +5.31164145061e+002, -1.81833904232e+004
+5.02509950000e+005, +5.29921623941e+002, -1.81389908832e+004
+5.03759925000e+005, +5.28648910244e+002, -1.80951949304e+004
+5.05009900000e+005, +5.28495193338e+002, -1.80495390083e+004
+5.06259875000e+005, +5.25452599305e+002, -1.80061884267e+004
+5.07509850000e+005, +5.23958119165e+002, -1.79631073410e+004
+5.08759825000e+005, +5.24937293839e+002, -1.79189697342e+004
+5.10009800000e+005, +5.21836291262e+002, -1.78751654890e+004
+5.11259775000e+005, +5.19869587301e+002, -1.78344996554e+004
