!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Wed Oct 12 10:17:16 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+4.75010500000e+005, +7.33162265801e+002, -2.56016562884e+004
+4.76260475000e+005, +7.33229744456e+002, -2.55370079748e+004
+4.77510450000e+005, +7.31707062148e+002, -2.54699822188e+004
+4.78760425000e+005, +7.27053810870e+002, -2.54033750436e+004
+4.80010400000e+005, +7.27155079314e+002, -2.53407869477e+004
+4.81260375000e+005, +7.24101079320e+002, -2.52746231868e+004
+4.82510350000e+005, +7.24798980003e+002, -2.52109970882e+004
+4.83760325000e+005, +7.22908946252e+002, -2.51460005519e+004
+4.85010300000e+005, +7.21168997124e+002, -2.50828856273e+004
+4.86260275000e+005, +7.16624789148e+002, -2.50205023857e+004
+4.87510250000e+005, +7.17064736199e+002, -2.49572406296e+004
+4.88760225000e+005, +7.13124084553e+002, -2.48947917311e+004
+4.90010200000e+005, +7.15082856934e+002, -2.48313024130e+004
+4.91260175000e+005, +7.11666298157e+002, -2.47693401537e+004
+4.92510150000e+005, +7.08528670510e+002, -2.47073586832e+004
+4.93760125000e+005, +7.07896154014e+002, -2.46480780295e+004
+4.95010100000e+005, +7.06417240695e+002, -2.45850474206e+004
+4.96260075000e+005, +7.02995172858e+002, -2.45254923314e+004
+4.97510050000e+005, +7.03749895546e+002, -2.44655575851e+004
+4.98760025000e+005, +7.03179164659e+002, -2.44047905469e+004
+5.00010000000e+005, +7.01819179722e+002, -2.43449822748e+004
+5.01259975000e+005, +6.96309942845e+002, -2.42847361758e+004
+5.02509950000e+005, +6.96116795495e+002, -2.42248215426e+004
+5.03759925000e+005, +6.94703665611e+002, -2.41669853982e+004
+5.05009900000e+005, +6.94636616415e+002, -2.41068411426e+004
+5.06259875000e+005, +6.90940886953e+002, -2.40491198808e+004
+5.07509850000e+005, +6.90229765923e+002, -2.39917727387e+004
+5.08759825000e+005, +6.90318786894e+002, -2.39329387832e+004
+5.10009800000e+005, +6.85180629079e+002, -2.38763563313e+004
+5.11259775000e+005, +6.85467137933e+002, -2.38172396570e+004
