Created: Mar 25, 2019  15:17:51
AIM version 912 // ID = 190216155237
"03-25-19-1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.785000,  7.206966,  9.051534,  -27.250166,  28.714140,  -71.625478,  0.756305,  2.426065,  57.199661
 0.790000,  7.267541,  8.936297,  -26.997569,  28.438110,  -71.685388,  0.758090,  2.405583,  57.470062
 0.795000,  7.343599,  8.806186,  -26.755638,  28.167589,  -71.782001,  0.760295,  2.380354,  57.804892
 0.800000,  7.377152,  8.732472,  -26.532409,  27.932504,  -71.782472,  0.761255,  2.369392,  57.950977
 0.805000,  7.497771,  8.560960,  -26.328802,  27.685661,  -71.987897,  0.764644,  2.330812,  58.468070
 0.810000,  7.533232,  8.493343,  -26.141000,  27.486156,  -72.000885,  0.765622,  2.319709,  58.617738
 0.815000,  7.617733,  8.368465,  -25.929384,  27.246360,  -72.113129,  0.767920,  2.293676,  58.970175
 0.820000,  7.693338,  8.254464,  -25.704665,  26.997518,  -72.196895,  0.769939,  2.270876,  59.280571
 0.825000,  7.740340,  8.165931,  -25.424809,  26.703994,  -72.194166,  0.771176,  2.256930,  59.471236
 0.830000,  7.777044,  8.100497,  -25.226126,  26.494820,  -72.197503,  0.772133,  2.246160,  59.618912
 0.835000,  7.829293,  8.021395,  -25.039496,  26.292949,  -72.237282,  0.773481,  2.231004,  59.827330
 0.840000,  7.906890,  7.904851,  -24.751559,  25.983193,  -72.288319,  0.775455,  2.208871,  60.133003
 0.845000,  7.960496,  7.827087,  -24.561628,  25.778613,  -72.324537,  0.776798,  2.193837,  60.341524
 0.850000,  8.055499,  7.708976,  -24.359866,  25.550565,  -72.439518,  0.779140,  2.167693,  60.705869
 0.855000,  8.077272,  7.658095,  -24.116064,  25.302786,  -72.382797,  0.779669,  2.161789,  60.788449
 0.860000,  8.131981,  7.579276,  -23.893151,  25.066473,  -72.400296,  0.780989,  2.147097,  60.994454
 0.865000,  8.298915,  7.400242,  -23.675320,  24.804926,  -72.642346,  0.784921,  2.103479,  61.610120
 0.870000,  8.297688,  7.376299,  -23.459523,  24.591848,  -72.545591,  0.784893,  2.103794,  61.605663
 0.875000,  8.354080,  7.308381,  -23.303843,  24.422971,  -72.588040,  0.786190,  2.089455,  61.809402
 0.880000,  8.515218,  7.142021,  -23.059085,  24.139798,  -72.790964,  0.789810,  2.049543,  62.380044
 0.885000,  8.540969,  7.099088,  -22.865179,  23.941876,  -72.751816,  0.790378,  2.043307,  62.469687
 0.890000,  8.550892,  7.066747,  -22.643594,  23.720693,  -72.667719,  0.790595,  2.040914,  62.504120
 0.895000,  8.590944,  7.007921,  -22.403317,  23.473806,  -72.630064,  0.791470,  2.031311,  62.642469
 0.900000,  8.643276,  6.941630,  -22.178618,  23.239564,  -72.620661,  0.792602,  2.018901,  62.821730
 0.905000,  8.703306,  6.872986,  -21.980266,  23.029764,  -72.636242,  0.793885,  2.004851,  63.025290
 0.910000,  8.711210,  6.846059,  -21.778403,  22.829090,  -72.549544,  0.794052,  2.003016,  63.051928
 0.915000,  8.826169,  6.735853,  -21.572564,  22.599718,  -72.659590,  0.796462,  1.976700,  63.435153
 0.920000,  8.859579,  6.687589,  -21.341960,  22.365221,  -72.601535,  0.797152,  1.969182,  63.545063
 0.925000,  8.888497,  6.642290,  -21.100786,  22.121554,  -72.526711,  0.797745,  1.962720,  63.639675
 0.930000,  8.909203,  6.608553,  -20.910818,  21.930236,  -72.461762,  0.798167,  1.958120,  63.707124
 0.935000,  9.012425,  6.517581,  -20.751875,  21.751303,  -72.564090,  0.800248,  1.935506,  64.039717
 0.940000,  9.053869,  6.469082,  -20.552067,  21.546147,  -72.527923,  0.801072,  1.926573,  64.171572
 0.945000,  9.048594,  6.453398,  -20.340157,  21.339361,  -72.397261,  0.800967,  1.927706,  64.154841
 0.950000,  9.058843,  6.432192,  -20.187618,  21.187568,  -72.327175,  0.801170,  1.925507,  64.187333
 0.955000,  9.089955,  6.393096,  -19.998541,  20.995555,  -72.272187,  0.801783,  1.918863,  64.285607
 0.960000,  9.216540,  6.285752,  -19.779638,  20.754391,  -72.370440,  0.804239,  1.892297,  64.680038
 0.965000,  9.183959,  6.294570,  -19.624000,  20.608808,  -72.216028,  0.803613,  1.899064,  64.579341
 0.970000,  9.161031,  6.294169,  -19.436821,  20.430530,  -72.056770,  0.803170,  1.903855,  64.508137
 0.975000,  9.191905,  6.255733,  -19.235372,  20.227054,  -71.984550,  0.803766,  1.897409,  64.603953
 0.980000,  9.255677,  6.198403,  -19.067901,  20.050063,  -71.992337,  0.804986,  1.884233,  64.800256
 0.985000,  9.308062,  6.149895,  -18.904877,  19.880029,  -71.980040,  0.805977,  1.873546,  64.959911
 0.990000,  9.366538,  6.100403,  -18.770525,  19.736958,  -71.996014,  0.807072,  1.861759,  65.136450
 0.995000,  9.434531,  6.043206,  -18.607728,  19.564455,  -72.007956,  0.808329,  1.848240,  65.339531
 1.000000,  9.437187,  6.030060,  -18.464211,  19.423922,  -71.914073,  0.808377,  1.847716,  65.347416
