!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.41251717500e+006, +4.93527539100e+002, -7.67519306246e+003
+1.41876716250e+006, +4.90943210348e+002, -7.64274049644e+003
+1.42501715000e+006, +4.88766203040e+002, -7.61092614603e+003
+1.43126713750e+006, +4.86563249694e+002, -7.57895055250e+003
+1.43751712500e+006, +4.84200490473e+002, -7.54696654373e+003
+1.44376711250e+006, +4.82104909796e+002, -7.51607489458e+003
+1.45001710000e+006, +4.78151986900e+002, -7.48369845045e+003
+1.45626708750e+006, +4.77471627125e+002, -7.45413943540e+003
+1.46251707500e+006, +4.75608494022e+002, -7.42340643051e+003
+1.46876706250e+006, +4.69654440627e+002, -7.38737125998e+003
+1.47501705000e+006, +4.67157532289e+002, -7.36701785343e+003
+1.48126703750e+006, +4.71052119125e+002, -7.33090204476e+003
+1.48751702500e+006, +4.72015712266e+002, -7.30902844635e+003
+1.49376701250e+006, +4.59655545753e+002, -7.27777780963e+003
+1.50001700000e+006, +4.71289153389e+002, -7.23205779309e+003
+1.50626698750e+006, +4.54330351646e+002, -7.20913473964e+003
+1.51251697500e+006, +4.47695243715e+002, -7.19224634711e+003
+1.51876696250e+006, +4.50104709344e+002, -7.15620137453e+003
+1.52501695000e+006, +4.50648288645e+002, -7.13121340570e+003
+1.53126693750e+006, +4.53098931436e+002, -7.10145651166e+003
+1.53751692500e+006, +4.55714857236e+002, -7.07198522407e+003
+1.54376691250e+006, +4.49771131220e+002, -7.05684321678e+003
+1.55001690000e+006, +4.41902054223e+002, -7.02023697080e+003
+1.55626688750e+006, +4.56346778731e+002, -6.98836920286e+003
+1.56251687500e+006, +4.41879572155e+002, -6.97591096141e+003
+1.56876686250e+006, +4.39930448122e+002, -6.93892498528e+003
+1.57501685000e+006, +4.42997038313e+002, -6.90430222648e+003
+1.58126683750e+006, +4.35540693986e+002, -6.89008618562e+003
+1.58751682500e+006, +4.29287007020e+002, -6.86442933128e+003
+1.59376681250e+006, +4.32713455334e+002, -6.83950002844e+003
+1.60001680000e+006, +4.26360724782e+002, -6.81200577024e+003
+1.60626678750e+006, +4.21171698661e+002, -6.78962756511e+003
+1.61251677500e+006, +4.28441780185e+002, -6.75583508445e+003
+1.61876676250e+006, +4.18902162969e+002, -6.74232441351e+003
+1.62501675000e+006, +4.20739169030e+002, -6.70795545414e+003
+1.63126673750e+006, +4.17375232763e+002, -6.68550231256e+003
+1.63751672500e+006, +4.22285718950e+002, -6.65752156266e+003
+1.64376671250e+006, +4.16559799545e+002, -6.63548196521e+003
+1.65001670000e+006, +4.19998881221e+002, -6.60908415964e+003
